"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Como usuario quiero agregar productos al carrito para realizar una compra","0"
"0","","0","","1","0","Como usuario quiero ordenar los productos en orden descendente para visualizar diferentes opciones rápidamente","0"
"0","","0","","1","0","Como usuario quiero completar el formulario de checkout correctamente para finalizar mi compra","0"
"0","","0","","1","0","Como usuario quiero recibir validaciones cuando dejo campos obligatorios vacíos","0"
"0","","0","","1","0","Como usuario quiero visualizar correctamente la página de inventario para poder navegar entre los productos","0"
"0","","0","","3","0","Como usuario quiero visualizar mensajes de validación cuando dejo campos obligatorios vacíos en el checkout","0"
"0","","0","","1","0","Como usuario quiero recibir validaciones cuando dejo la contraseña vacía","0"
"0","","0","","3","0","Como usuario quiero iniciar sesión correctamente para acceder a la aplicación","0"
"0","","0","","1","0","Como usuario quiero eliminar productos del carrito para modificar mi selección de compra","0"
"0","","0","","1","0","Como usuario quiero visualizar mensajes claros cuando mi acceso esté restringido","0"
"0","","0","","1","0","Como usuario quiero recibir validaciones cuando ingreso credenciales incorrectas","0"
"0","","0","","1","0","Como usuario quiero ordenar los productos por precio ascendente para encontrar productos más económicos","0"
"0","","0","","1","0","Como usuario quiero ordenar los productos alfabéticamente para encontrar productos fácilmente","0"
"0","","0","","1","0","Como usuario quiero verificar que la pagina del carrito se muestra correctamente para poder revisar los items que he agregado","0"
"0","","0","","1","0","Como usuario quiero verificar la cantidad de productos en el carrito para confirmar que los items agregados son correctos","0"
"0","","0","","1","0","Como usuario quiero visualizar todos los productos disponibles en el inventario para revisar las opciones de compra","0"
"0","","0","","1","0","Como usuario quiero vaciar el carrito para eliminar todos los productos seleccionados","0"
"0","","0","","1","0","Como usuario quiero visualizar correctamente los productos agregados al carrito para validar mi compra","0"
"0","","0","","1","0","Como usuario quiero ordenar los productos por precio descendente para visualizar primero los productos más caros","0"
